fiber_number, frd_throughput, flux_throughput, reference_flux_ratio, flux_throughput_corrected, total_throughput
059,0.6963917875242617,0.6124578562402414,0.7748795371809298,0.7903910567420702,0.5504218408478004
060,0.6959022593544433,0.620966102992136,0.7761907978811798,0.8000173471358187,0.5567338793945642
061,0.6814570329624342,0.621363291055291,0.7781781664180875,0.7984846117122419,0.5441329543635858
062,0.6644767568980913,0.6296753851106186,0.7952537068392723,0.7917918265521288,0.5261272650457746
063,0.6605542550731548,0.6155943698242144,0.7910685022395371,0.778180863075005,0.5140306803206947
064,0.6547929604242609,0.6131296037183886,0.792597900587329,0.7735695530659983,0.5065278977461575
065,0.7115995687964065,0.6047068810628023,0.7993872111322649,0.7564630414918521,0.5382987741360201
066,0.7156769513481278,0.5567302388025048,0.802030000023848,0.6941513893320084,0.4967881500911991
067,0.7255235748596999,0.6467679303822621,0.8045754447835312,0.8038623780722929,0.5832211062342295
068,0.7056547208084454,0.6491353541827443,0.8042148587679983,0.8071665763265987,0.5695809050636548
069,0.710837450346355,0.6370550252783944,0.8020273698487761,0.794305841954636,0.5646223394902483
070,0.7055202386839153,0.6037898782347483,0.7666592034841127,0.787559681656206,0.5556392945799149
071,0.7023715275912055,0.6036892956978557,0.7820330478265467,0.7719485734978206,0.5421946987895162
072,0.703697302832216,0.5989757909550929,0.7812960743473057,0.7666437994782924,0.5394851739259167
073,0.7142358543739287,0.6155370417505862,0.7834583118705826,0.7856666173863571,0.5611512677220193
074,0.7497566018020274,0.6191430500619497,0.7850020682552586,0.7887151831816873,0.5913444155319655
075,0.7229824011138712,0.635893196657256,0.7940006675127832,0.8008723703585782,0.5790166293076024
076,0.7427375473546916,0.6002132273429136,0.7919084924679763,0.7579325554046705,0.5629449672615389
077,0.7452577399536898,0.6302934667967957,0.7899188841941203,0.7979217605866261,0.5946573679546582
078,0.7279819069971307,0.6314900572249035,0.793845019989939,0.7954827974267659,0.5790970838541493
079,0.6292625031173712,0.6275232053310403,0.7922011475320213,0.7921260999002472,0.4984552524078304
080,0.6315131273840078,0.6284997992733755,0.7969371728235976,0.7886440998185114,0.4980391018693337
082,0.6613892196609666,0.6474621733725898,0.8330340173463251,0.7772337742402352,0.514054039438897
083,0.6918241433682678,0.6626926125776637,0.8272566641127728,0.8010725586458672,0.5542013366610036
084,0.7396488114897961,0.6557961426915324,0.8176797557283776,0.802020764360686,0.5932137051495192
085,0.7357461054404968,0.63320306245361,0.8236632029112853,0.7687645389711683,0.5656155155487961
086,0.7299140171569095,0.6560556552776196,0.8267534225098588,0.7935324335107863,0.5792104462881562
087,0.7262464906812833,0.6481141834606465,0.8308826026076087,0.7800309952653129,0.5664947729340623
088,0.7168002888738056,0.6432146008742279,0.8308107170654033,0.7742011359051746,0.5549475978632576
089,0.7349560816121287,0.653535742980165,0.8254601496111581,0.7917229478467496,0.5818815954718508
090,0.7156830982683687,0.6473607786912989,0.823764129204595,0.7858569652897772,0.5624245477143657
091,0.6677812930857174,0.6516758511368183,0.8262516010482877,0.7887135713988567,0.5266881685829828
092,0.7082118829839268,0.6442845419810788,0.8295228236592831,0.7766929656485392,0.5500631877023223
093,0.6736577658632289,0.6270807447742075,0.810548840590297,0.7736495487644206,0.5211750265817348
094,0.6804353397282336,0.6363852360043476,0.8052759068677404,0.7902698076236725,0.5377275050273793
095,0.6930793484845167,0.6438901544212295,0.805958329605789,0.798912463298406,0.5537097295590196
096,0.7212256236498705,0.6213161291023473,0.8050095456653127,0.7718121262634854,0.5566506821049149
097,0.6876880067769467,0.6018747798990335,0.7927263327527423,0.759246608863141,0.5221247871012495
098,0.7197499207377371,0.608776718171803,0.8023376525661392,0.758753769344783,0.5461129653453668
101,0.7298121564708929,0.6116018846437071,0.7986510869276695,0.7657935920383933,0.558885472817131
102,0.7381768908683853,0.6273958326564916,0.8156576098089309,0.7691901909717487,0.567798423657985
103,0.6843626580877373,0.6405029562236685,0.8105239678641836,0.790233209156617,0.5408060995276253
104,0.7382963675674579,0.6459389701451749,0.8144314307899497,0.7931164561252907,0.5855549986152772
105,0.684344277183412,0.6478073593967986,0.8246515194945564,0.7855528597023034,0.537588603962335
106,0.7108428777374707,0.6622909208885956,0.8357587530830309,0.7924426976630161,0.5633022476488229
107,0.7173965214326488,0.6626010883472587,0.8321436520414583,0.7962580579948318,0.5712327609682086
108,0.7095833392692324,0.6501884502655934,0.8344490933898446,0.7791828829536915,0.552895191987708
109,0.7187700879038956,0.6551320230934391,0.8376720420486858,0.782086532924257,0.5621404060184212
110,0.715790971847313,0.6537217274309727,0.8187279922936707,0.7984602133848727,0.571530612120171
111,0.7160579279201608,0.6508789510221594,0.8363695456149404,0.7782193343058671,0.557250123990466
112,0.7553248616698605,0.6527574614616749,0.8233593888471604,0.7927977385132433,0.5988198421746938
113,0.7423570883523885,0.6406744772576792,0.8110331344553171,0.78994858537802,0.5864239317893151
114,0.6797936529049344,0.6480197146149915,0.817612287018904,0.792575802618789,0.5387880000662869
115,0.7283846994421981,0.5961599932399777,0.8192877266080668,0.7276564433695837,0.530013819800933
116,0.6951700592496663,0.6549705406384635,0.8211576568626648,0.7976185025672903,0.5544805016883333
117,0.6617553959164109,0.6555047271446027,0.8183198666623496,0.8010372885338654,0.5300907480175363
